director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Muddassar Aziz,Fardeen Khan,Ishita Sharma,Sushmita Sen,Romantic comedy,dulha mil gaya,Fardeen Khan Ishita Sharma Sushmita Sen Muddassar Aziz Romantic comedy
Jugal Hansraj,Priyanka Chopra,Uday Chopra,Anupam Kher,Romantic comedy,pyaar impossible!,Priyanka Chopra Uday Chopra Anupam Kher Jugal Hansraj Romantic comedy
Ken Ghosh,Shahid Kapoor,Genelia D'Souza,unknown,"Romance, Dance",chance pe dance,"Shahid Kapoor Genelia D'Souza unknown Ken Ghosh Romance, Dance"
Dileep Shukla,Rajpal Yadav,Preeti Mehra,unknown,Comedy,hello! hum lallan bol rahe hain,Rajpal Yadav Preeti Mehra unknown Dileep Shukla Comedy
Anil Sharma,Salman Khan,Zarine Khan,Mithun Chakraborty,Epic film,veer,Salman Khan Zarine Khan Mithun Chakraborty Anil Sharma Epic film
Abhishek Chaubey,Naseeruddin Shah,Vidya Balan,Arshad Warsi,"Black comedy, Romance",ishqiya,"Naseeruddin Shah Vidya Balan Arshad Warsi Abhishek Chaubey Black comedy, Romance"
Ram Gopal Varma,Amitabh Bachchan,Sudeep,Ritesh Deshmukh,"Drama, Thriller",rann,"Amitabh Bachchan Sudeep Ritesh Deshmukh Ram Gopal Varma Drama, Thriller"
Amit Rai,Paresh Rawal,Om Puri,Javed Sheikh,Drama,road to sangam,Paresh Rawal Om Puri Javed Sheikh Amit Rai Drama
Vishal Bhandari,Om Puri,Shreyas Talpade,Gulshan Grover,Drama,the hangman,Om Puri Shreyas Talpade Gulshan Grover Vishal Bhandari Drama
Chandan Arora,Siddharth Narayan,Aditya Pancholi,Ankur Vikal,Action,striker,Siddharth Narayan Aditya Pancholi Ankur Vikal Chandan Arora Action
Manjeet Mann,Gurdas Maan,Juhi Chawla,Divya Dutta,Drama,sukhmani: hope for life,Gurdas Maan Juhi Chawla Divya Dutta Manjeet Mann Drama
Deepak Bandhu,Anant Jog,Nagesh Bhonsle,Mushtaq Khan,Action,aakhari decision,Anant Jog Nagesh Bhonsle Mushtaq Khan Deepak Bandhu Action
Sangeeth Sivan,Shreyas Talpade,Sadha,Sneha Ullal,Horror,click,Shreyas Talpade Sadha Sneha Ullal Sangeeth Sivan Horror
Kedarh Shinde,Tabu,Sharman Joshi,Vatsal Sheth,Romantic comedy,toh baat pakki!,Tabu Sharman Joshi Vatsal Sheth Kedarh Shinde Romantic comedy
Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Ram Kapoor,Thriller,karthik calling karthik,Farhan Akhtar Deepika Padukone Ram Kapoor Vijay Lalwani Thriller
Leena Yadav,Amitabh Bachchan,Ben Kingsley,R. Madhavan,"Drama, Thriller",teen patti,"Amitabh Bachchan Ben Kingsley R. Madhavan Leena Yadav Drama, Thriller"
Ashwni Dhir,Ajay Devgn,Konkona Sen Sharma,Paresh Rawal,Comedy,atithi tum kab jaoge?,Ajay Devgn Konkona Sen Sharma Paresh Rawal Ashwni Dhir Comedy
Raja Unnithan,Mrunmayee Lagoo,Milind Gunaji,Neena Gupta,Drama,hello zindagi,Mrunmayee Lagoo Milind Gunaji Neena Gupta Raja Unnithan Drama
Dev Benegal,Abhay Deol,Satish Kaushik,Tannishtha Chatterjee,Drama,"road, movie",Abhay Deol Satish Kaushik Tannishtha Chatterjee Dev Benegal Drama
Rajesh Ranshinge,Udita Goswami,Shaad Randhawa,Nishigandha Wad,Thriller,rokkk,Udita Goswami Shaad Randhawa Nishigandha Wad Rajesh Ranshinge Thriller
Irfan Kamal,Alok Nath,Raghuveer Yadav,Barry John,Drama,thanks maa,Alok Nath Raghuveer Yadav Barry John Irfan Kamal Drama
Akash Pandey,Rajesh Khanna,Nausheen Ali Sardar,Sonika Gill,Romantic comedy,do dilon ke khel mein,Rajesh Khanna Nausheen Ali Sardar Sonika Gill Akash Pandey Romantic comedy
Shawn Arranha,Purab Kohli,Arjan Bajwa,Mrinalini Sharma,Thriller,hide & seek,Purab Kohli Arjan Bajwa Mrinalini Sharma Shawn Arranha Thriller
Rahul Aggarwal,Rahul Aggarwal,Paresh Rawal,Narayani Shastri,Comedy,na ghar ke na ghaat ke,Rahul Aggarwal Paresh Rawal Narayani Shastri Rahul Aggarwal Comedy
Neeraj Pathak,Sunny Deol,Irrfan Khan,Isha Koppikar,Action,right yaaa wrong,Sunny Deol Irrfan Khan Isha Koppikar Neeraj Pathak Action
Arshad Khan,Vikrum Kumar,Urvashi Chowdhary,Mansi Dovhal,"Action, Thriller",trump card,"Vikrum Kumar Urvashi Chowdhary Mansi Dovhal Arshad Khan Action, Thriller"
Sunanda Mitra,Sushant Singh,Hrishita Bhatt,Jyoti Gauba,Drama,idiot box,Sushant Singh Hrishita Bhatt Jyoti Gauba Sunanda Mitra Drama
Sanjay Puran Singh Chauhan,Aanaahad,Shraddha Das,Farooq Sheikh,Sports/Social,lahore,Aanaahad Shraddha Das Farooq Sheikh Sanjay Puran Singh Chauhan Sports/Social
Dibakar Banerjee,Amit Sial,Anshuman Jha,Arya Banerjee,Found footage,love sex aur dhokha,Amit Sial Anshuman Jha Arya Banerjee Dibakar Banerjee Found footage
Vikram Bhatt,Aditya Narayan,Shweta Agarwal,Rahul Dev,Horror,shaapit,Aditya Narayan Shweta Agarwal Rahul Dev Vikram Bhatt Horror
Kabeer Kaushik,Dia Mirza,Sandhya Mridul,Boman Irani,Comedy,hum tum aur ghost,Dia Mirza Sandhya Mridul Boman Irani Kabeer Kaushik Comedy
Saurabh Sengupta,Mohsin Akhtar,Mouli Ganguly,Ranjeet Jha,Social,it's a man's world,Mohsin Akhtar Mouli Ganguly Ranjeet Jha Saurabh Sengupta Social
Karan Razdan,Rituparna Sengupta,Rohit Roy,Gulshan Grover,Romance,mittal v/s mittal,Rituparna Sengupta Rohit Roy Gulshan Grover Karan Razdan Romance
Rajiv S. Ruia,Rahul Pendkalkar,Baba Sehgal,Eva Grover,Animation,my friend ganesha 3,Rahul Pendkalkar Baba Sehgal Eva Grover Rajiv S. Ruia Animation
Ashok Kheny,Arbaaz Khan,Tara Sharma,Madhuri Bhattacharya,Comedy,prem kaa game,Arbaaz Khan Tara Sharma Madhuri Bhattacharya Ashok Kheny Comedy
Shyam Benegal,Boman Irani,Minissha Lamba,Sameer Dattani,Social,well done abba,Boman Irani Minissha Lamba Sameer Dattani Shyam Benegal Social
Sudipto Chattopadhyaya,Bipasha Basu,Maradona Rebello,Mahesh Manjrekar,Social,pankh,Bipasha Basu Maradona Rebello Mahesh Manjrekar Sudipto Chattopadhyaya Social
Raj Kanwar,Luv Sinha,Ferena Wazeir,Rekha,Romance,sadiyaan,Luv Sinha Ferena Wazeir Rekha Raj Kanwar Romance
Kabir Sadanand,Nana Patekar,Dimple Kapadia,Rehan Khan,Social/Drama,tum milo toh sahi,Nana Patekar Dimple Kapadia Rehan Khan Kabir Sadanand Social/Drama
Milap Zaveri,Riteish Deshmukh,Jacqueline Fernandez,unknown,Comedy/Romance/Fantasy,jaane kahan se aayi hai,Riteish Deshmukh Jacqueline Fernandez unknown Milap Zaveri Comedy/Romance/Fantasy
Kookie Gulati,Vivek Oberoi,Neeru Bajwa,Nandana Sen,Action/Sci-Fi/Thriller,prince,Vivek Oberoi Neeru Bajwa Nandana Sen Kookie Gulati Action/Sci-Fi/Thriller
Aparna Sen,Rahul Bose,Raima Sen,Chigasu Takaku,Romance,the japanese wife,Rahul Bose Raima Sen Chigasu Takaku Aparna Sen Romance
Milind Ukey,Shahid Kapoor,Nana Patekar,Ayesha Takia,Social,paathshaala,Shahid Kapoor Nana Patekar Ayesha Takia Milind Ukey Social
Milind Gadagkar,Sudeep,Neeru Bajwa,Amruta Khanvilkar,Horror,phoonk 2,Sudeep Neeru Bajwa Amruta Khanvilkar Milind Gadagkar Horror
Jagmohan Mundhra,Rohit Roy,Tanushree Dutta,Neetu Chandra,Thriller,apartment,Rohit Roy Tanushree Dutta Neetu Chandra Jagmohan Mundhra Thriller
Jyotin Goel,nan,unknown,unknown,Animation,bird idol,nan unknown unknown Jyotin Goel Animation
Mahesh Manjrekar,Vineet Kumar,Sameer Dharmadhikari,Kashmira Shah,Social,city of gold,Vineet Kumar Sameer Dharmadhikari Kashmira Shah Mahesh Manjrekar Social
Som Shekar,Gashmeer Mahajani,Twinkle Patel,Sunil Sabarwal,Romantic Comedy,muskurake dekh zara,Gashmeer Mahajani Twinkle Patel Sunil Sabarwal Som Shekar Romantic Comedy
Jagmohan Mundhra,Udita Goswami,Caterina Murino,Rajesh Khattar,Action,chase,Udita Goswami Caterina Murino Rajesh Khattar Jagmohan Mundhra Action
Sajid Khan,Akshay Kumar,Arjun Rampal,Deepika Padukone,Comedy,housefull,Akshay Kumar Arjun Rampal Deepika Padukone Sajid Khan Comedy
Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang,Romance/Drama,badmaash company,Shahid Kapoor Anushka Sharma Meiyang Chang Parmeet Sethi Romance/Drama
Priyadarshan,Darsheel Safary,Atul Kulkarni,Rituparna Sengupta,Children/Drama,bumm bumm bole,Darsheel Safary Atul Kulkarni Rituparna Sengupta Priyadarshan Children/Drama
K.D. Satyam,Anupam Kher,Aashish Vidyarthi,Ankur Khanna,Drama,admissions open,Anupam Kher Aashish Vidyarthi Ankur Khanna K.D. Satyam Drama
T K Rajeev Kumar,Rajpal Yadav,Khali,Nargis,Comedy/Romance,kushti,Rajpal Yadav Khali Nargis T K Rajeev Kumar Comedy/Romance
Anurag Basu,Hrithik Roshan,Kangana Ranaut,Bárbara Mori,Thriller/Romance,kites,Hrithik Roshan Kangana Ranaut Bárbara Mori Anurag Basu Thriller/Romance
Prakash Jha,Ajay Devgn,Ranbir Kapoor,Arjun Rampal,Drama/Political Thriller,raajneeti,Ajay Devgn Ranbir Kapoor Arjun Rampal Prakash Jha Drama/Political Thriller
Partho Ghosh,Jackie Shroff,Manisha Koirala,Aman Verma,Thriller,ek second... jo zindagi badal de?,Jackie Shroff Manisha Koirala Aman Verma Partho Ghosh Thriller
Mani Ratnam,Vikram Kennedy,Abhishek Bachchan,Aishwarya Rai Bachchan,Action/Romance,raavan,Vikram Kennedy Abhishek Bachchan Aishwarya Rai Bachchan Mani Ratnam Action/Romance
Mehul Kumar,Jahan Bloch,Sameer Aftab,unknown,Action,krantiveer - the revolution,Jahan Bloch Sameer Aftab unknown Mehul Kumar Action
Pravesh Raman,Aruna Shields,Prashant Narayanan,unknown,Drama,mr. singh mrs. mehta,Aruna Shields Prashant Narayanan unknown Pravesh Raman Drama
Punit Malhotra,Imran Khan,Sonam Kapoor,Sameer Dattani,Romance,i hate luv storys,Imran Khan Sonam Kapoor Sameer Dattani Punit Malhotra Romance
Satish Kaushik,Kareena Kapoor,Shahid Kapoor,Aarti Chabria,Romance,milenge milenge,Kareena Kapoor Shahid Kapoor Aarti Chabria Satish Kaushik Romance
Anant Mahadevan,Sunil Shetty,Vinod Khanna,Naseeruddin Shah,Action,red alert: the war within,Sunil Shetty Vinod Khanna Naseeruddin Shah Anant Mahadevan Action
Rahul Dholakia,Sanjay Dutt,Bipasha Basu,Kunal Kapoor,Action,lamhaa,Sanjay Dutt Bipasha Basu Kunal Kapoor Rahul Dholakia Action
Abhishek Sharma,Ali Zafar,Barry John,Nikhil Ratnaparkhi,Comedy,tere bin laden,Ali Zafar Barry John Nikhil Ratnaparkhi Abhishek Sharma Comedy
Vikramaditya Motwane,Ronit Roy,Rajat Barmecha,unknown,Drama,udaan,Ronit Roy Rajat Barmecha unknown Vikramaditya Motwane Drama
Priyadarshan,Akshay Kumar,Trisha Krishnan,Rajpal Yadav,"Comedy, Drama, Romance",khatta meetha,"Akshay Kumar Trisha Krishnan Rajpal Yadav Priyadarshan Comedy, Drama, Romance"
Milan Luthria,Ajay Devgn,Emraan Hashmi,Kangana Ranaut,"Action, Romance, Thriller, Crime",once upon a time in mumbaai,"Ajay Devgn Emraan Hashmi Kangana Ranaut Milan Luthria Action, Romance, Thriller, Crime"
Rajshree Ojha,Sonam Kapoor,Abhay Deol,Anand Tiwari,"Romance, Comedy",aisha,"Sonam Kapoor Abhay Deol Anand Tiwari Rajshree Ojha Romance, Comedy"
Rajeev Virani,Bobby Deol,Mugdha Godse,Sophia Handa,Horror,help,Bobby Deol Mugdha Godse Sophia Handa Rajeev Virani Horror
Anusha Rizvi,Omkar Das Manikpuri,Raghubir Yadav,unknown,"Political, Comedy",peepli live,"Omkar Das Manikpuri Raghubir Yadav unknown Anusha Rizvi Political, Comedy"
Pradeep Sarkar,Neil Nitin Mukesh,Deepika Padukone,unknown,Romance,lafangey parindey,Neil Nitin Mukesh Deepika Padukone unknown Pradeep Sarkar Romance
Amol Palekar,Antara Mali,Rajat Kapoor,Rituparna Sengupta,Drama,...and once again,Antara Mali Rajat Kapoor Rituparna Sengupta Amol Palekar Drama
Manoj Tiwari,Celina Jaitly,Isha Koppikar,Gul Panag,Comedy,hello darling,Celina Jaitly Isha Koppikar Gul Panag Manoj Tiwari Comedy
Sushil Rajpal,Raja Chaudhary,Vinay Pathak,unknown,Crime,antardwand,Raja Chaudhary Vinay Pathak unknown Sushil Rajpal Crime
Nagesh Kukunoor,John Abraham,Sonal Sehgal,Prateeksha Lonkar,Drama,aashayein,John Abraham Sonal Sehgal Prateeksha Lonkar Nagesh Kukunoor Drama
Sartaj Singh Pannu,Sartaj Singh Pannu,Barkha Madan,Bhupinder Singh,"Mystery, Suspense",soch lo,"Sartaj Singh Pannu Barkha Madan Bhupinder Singh Sartaj Singh Pannu Mystery, Suspense"
Siddharth Malhotra,Arjun Rampal,Kajol,Kareena Kapoor,"Drama, Romance",we are family,"Arjun Rampal Kajol Kareena Kapoor Siddharth Malhotra Drama, Romance"
Wilson Louis,Sameer Dattani,Sheena Nayar,Himanshu Malik,Horror,mallika,Sameer Dattani Sheena Nayar Himanshu Malik Wilson Louis Horror
Akshay Shere,Mohit Alawat,Kalki Koechlin,Vinay Pathak,Drama,the film emotional atyachar,Mohit Alawat Kalki Koechlin Vinay Pathak Akshay Shere Drama
Abhinav Kashyap,Salman Khan,Arbaaz Khan,Sonakshi Sinha,Action,dabangg,Salman Khan Arbaaz Khan Sonakshi Sinha Abhinav Kashyap Action
Rahsaan Islam,Rahsaan Islam,Bakhtiar Hafeez,Trishna Murad,Comedy,kings of devon,Rahsaan Islam Bakhtiar Hafeez Trishna Murad Rahsaan Islam Comedy
